"","Region","NewArea","NewArea2","Decile","N","Max","Min","Mean"
"494","Rural",5,"Kermanshah","10",273,42712882.3529412,6417461.53846154,10155481.2562501
"495","Rural",5,"Kermanshah","3",8,2349250,2169666.66666667,2281906.48539474
"496","Rural",5,"Kermanshah","6",38,3564000,3133410.25641026,3344678.45089153
"497","Rural",5,"Kermanshah","5",24,3113625,2764300,2953414.15531718
"498","Rural",5,"Kermanshah","4",13,2697000,2413194.44444444,2555945.39770225
"499","Rural",6,"Khoozestan","4",87,3780263.15789474,3314583.33333333,3526978.0337448
"500","Rural",6,"Khoozestan","2",55,2804411.76470588,2245161.29032258,2570917.9489296
"501","Rural",6,"Khoozestan","3",73,3300606.06060606,2813947.36842105,3067336.43414439
"502","Rural",6,"Khoozestan","5",92,4300000,3788363.63636364,4040295.52246956
"503","Rural",6,"Khoozestan","1",23,2218888.88888889,1008333.33333333,1862048.38512366
"504","Rural",6,"Khoozestan","6",86,4901851.85185185,4315625,4577525.54128841
"505","Rural",6,"Khoozestan","7",104,5651851.85185185,4920689.65517241,5254779.75704449
"506","Rural",6,"Khoozestan","10",65,48777647.0588235,8867941.17647059,12589562.2033416
"507","Rural",6,"Khoozestan","9",73,8758235.29411765,6852272.72727273,7636641.88043374
"508","Rural",6,"Khoozestan","8",62,6796666.66666667,5667647.05882353,6224598.7677542
"509","Rural",7,"Fars","5",82,4832666.66666667,4265454.54545454,4536885.24522957
"510","Rural",7,"Fars","8",90,7611818.18181818,6388593.75,6865784.21818053
"511","Rural",7,"Fars","7",89,6359090.90909091,5530645.16129032,5912112.47708723
"512","Rural",7,"Fars","4",97,4249862.06896552,3735185.18518519,4003326.42805682
"513","Rural",7,"Fars","10",69,58880000,9931250,14498101.3452682
"514","Rural",7,"Fars","1",51,2495937.5,1451388.88888889,2127191.27211493
"515","Rural",7,"Fars","6",77,5507777.77777778,4841463.41463415,5146322.05848881
"516","Rural",7,"Fars","3",83,3692896.55172414,3153806.4516129,3426083.78266942
"517","Rural",7,"Fars","2",73,3148529.41176471,2501225.80645161,2865813.37890327
"518","Rural",7,"Fars","9",82,9923548.38709678,7646774.19354839,8573165.31735529
"519","Rural",8,"Kerman","6",44,4635882.35294118,4084375,4310766.94470326
"520","Rural",8,"Kerman","4",73,3582352.94117647,3139090.90909091,3340070.63968039
"521","Rural",8,"Kerman","2",125,2656666.66666667,2105625,2381270.66733408
"522","Rural",8,"Kerman","3",79,3132352.94117647,2669629.62962963,2892410.24672916
"523","Rural",8,"Kerman","1",77,2095833.33333333,930526.315789474,1799644.46493685
"524","Rural",8,"Kerman","7",38,5366770.83333333,4657894.73684211,5008254.46525534
"525","Rural",8,"Kerman","8",38,6441666.66666667,5388148.14814815,5862576.03937539
"526","Rural",8,"Kerman","5",59,4079411.76470588,3596363.63636364,3800721.35132051
"527","Rural",8,"Kerman","9",29,8340000,6476470.58823529,7230136.85889407
"528","Rural",8,"Kerman","10",12,23460416.6666667,8393448.27586207,11022972.9407197
"529","Rural",9,"Khorasan_Razavi","7",88,5497777.77777778,4773478.26086957,5155372.07449499
"530","Rural",9,"Khorasan_Razavi","1",36,2145555.55555556,1152482.75862069,1828733.33073126
"531","Rural",9,"Khorasan_Razavi","10",118,44291560,8627058.82352941,12944718.321059
"532","Rural",9,"Khorasan_Razavi","8",95,6590740.74074074,5520537.03703704,6056039.29919531
"533","Rural",9,"Khorasan_Razavi","4",86,3680185.18518519,3216250,3456533.50318259
"534","Rural",9,"Khorasan_Razavi","9",105,8592894.73684211,6617931.03448276,7580917.63415064
"535","Rural",9,"Khorasan_Razavi","3",84,3213750,2737272.72727273,2979363.16088699
"536","Rural",9,"Khorasan_Razavi","5",80,4188529.41176471,3682414.63414634,3940903.98154348
"537","Rural",9,"Khorasan_Razavi","6",96,4769444.44444444,4195205.12820513,4457571.82042637
"538","Rural",9,"Khorasan_Razavi","2",54,2723529.41176471,2170588.23529412,2490728.63941026
"539","Rural",10,"Esfahan","2",42,3116578.94736842,2483437.5,2806874.41425247
"540","Rural",10,"Esfahan","1",26,2476470.58823529,635294.117647059,2125378.76403222
"541","Rural",10,"Esfahan","6",58,5463709.67741936,4844772.72727273,5131354.60218697
"542","Rural",10,"Esfahan","8",90,7585294.11764706,6327647.05882353,6946261.88483383
"543","Rural",10,"Esfahan","5",66,4805882.35294118,4227586.20689655,4538914.02315028
"544","Rural",10,"Esfahan","3",68,3687647.05882353,3137407.40740741,3434848.81842958
"545","Rural",10,"Esfahan","7",71,6325000,5486363.63636364,5884083.93543672
"546","Rural",10,"Esfahan","10",94,110346000,9927419.35483871,16228126.5267396
"547","Rural",10,"Esfahan","9",81,9826590.90909091,7600937.5,8732501.66273624
"548","Rural",10,"Esfahan","4",57,4223333.33333333,3697545.45454545,3947126.34218368
"549","Rural",11,"Sistan","3",89,3263793.10344828,2774687.5,3017655.79273811
"550","Rural",11,"Sistan","1",308,2190909.09090909,537500,1524005.24526479
"551","Rural",11,"Sistan","2",104,2772222.22222222,2196707.31707317,2490123.7428361
"552","Rural",11,"Sistan","5",36,4221818.18181818,3756000,3976019.84845106
"553","Rural",11,"Sistan","6",31,4850925.92592593,4271153.84615385,4584418.80269841
"554","Rural",11,"Sistan","8",15,6633148.14814815,5686851.85185185,6245117.38058976
"555","Rural",11,"Sistan","7",24,5581818.18181818,4853125,5271507.84400555
"556","Rural",11,"Sistan","4",56,3720312.5,3281111.11111111,3477632.50119818
"557","Rural",11,"Sistan","9",8,8190909.09090909,6750370.37037037,7392456.42916737
"558","Rural",11,"Sistan","10",8,15758823.5294118,9240588.23529412,11701717.3598258
"559","Rural",12,"Kordestan","5",52,4909448.27586207,4335294.11764706,4616392.5699545
"560","Rural",12,"Kordestan","7",34,6455925.92592593,5613181.81818182,5990518.15583613
"561","Rural",12,"Kordestan","9",25,9933409.09090909,7804166.66666667,8714572.01915177
"562","Rural",12,"Kordestan","8",33,7633200,6482958.33333333,6959197.19895173
"563","Rural",12,"Kordestan","10",14,35640322.5806452,10213333.3333333,14553201.8791976
"564","Rural",12,"Kordestan","4",40,4325275.86206897,3798823.52941176,4034303.06826008
"565","Rural",12,"Kordestan","6",40,5605235.29411765,4934117.64705882,5241989.70104208
"566","Rural",12,"Kordestan","3",29,3779090.90909091,3209534.88372093,3512025.90995114
"567","Rural",12,"Kordestan","2",30,3201666.66666667,2576200,2942355.15892203
"568","Rural",12,"Kordestan","1",19,2494000,1133000,1937045.4544803
"569","Rural",13,"Hamedan","10",154,21708529.4117647,6157812.5,8961121.28874419
"570","Rural",13,"Hamedan","9",102,6146451.61290323,4748518.51851852,5387566.615612
"571","Rural",13,"Hamedan","8",74,4726206.89655172,3964583.33333333,4371398.23006214
"572","Rural",13,"Hamedan","7",68,3924117.64705882,3422916.66666667,3670213.66971076
"573","Rural",13,"Hamedan","5",37,2977777.77777778,2639705.88235294,2801944.11775991
"574","Rural",13,"Hamedan","2",17,1938461.53846154,1576470.58823529,1790725.52201946
"575","Rural",13,"Hamedan","3",27,2296818.18181818,1968750,2134925.84280976
"576","Rural",13,"Hamedan","6",53,3414193.5483871,3013888.88888889,3198053.55553912
"577","Rural",13,"Hamedan","4",39,2636046.51162791,2322352.94117647,2493563.75716429
"578","Rural",13,"Hamedan","1",25,1502083.33333333,385294.117647059,952479.701569777
"579","Rural",14,"Chaharmahal","4",72,5267500,4620000,4960664.85232566
"580","Rural",14,"Chaharmahal","5",62,5993225.80645161,5280518.51851852,5611663.64512554
"581","Rural",14,"Chaharmahal","2",72,3898235.29411765,3134705.88235294,3549012.45295995
"582","Rural",14,"Chaharmahal","8",41,9418421.05263158,7904375,8500268.18617276
"583","Rural",14,"Chaharmahal","6",37,6834705.88235294,6004545.45454545,6400372.86492826
"584","Rural",14,"Chaharmahal","3",77,4594062.5,3919705.88235294,4226561.79474846
"585","Rural",14,"Chaharmahal","1",46,3065161.29032258,983333.333333333,2521252.56691847
