,Region,NewArea,NewArea2,Decile,N,Mean
424,Urban,29,Khorasan_Jonoobi,7,62,2751547.621
617,Urban,30,Alborz,7,6,2128425.828
582,Urban,105,Sh_Rasht,7,26,2483156.836
500,Urban,303,Sh_Tabriz,7,32,2488780.26
478,Urban,401,Sh_Urmia,7,7,3380703.309
511,Urban,502,Sh_Kermanshah,7,24,1722396.188
668,Urban,603,Sh_Ahvaz,7,18,3135544.5
573,Urban,707,Sh_Shiraz,7,32,1891500.024
616,Urban,808,Sh_Kerman,7,10,1273558.34
552,Urban,916,Sh_Mashhad,7,44,2413723.264
611,Urban,1002,Sh_Esfahan,7,37,3197036.537
477,Urban,1105,Sh_Zahedan,7,12,1854737.093
521,Urban,1304,Sh_Hamedan,7,28,2302101.694
567,Urban,2105,Sh_Yazd,7,28,2254828.6
599,Urban,2202,Sh_Bandarabas,7,21,3656201.094
770,Urban,2301,Sh_Tehran,7,96,3252357.949
640,Urban,3001,Sh_Karaj,7,36,2068112.778
592,Rural,0,Markazi,7,57,1613145.382
489,Rural,1,Gilan,7,26,2101799.915
522,Rural,2,Mazandaran,7,73,3182146.163
497,Rural,3,Az_Sharghi,7,53,2008871.453
448,Rural,4,Az_Gharbi,7,49,692091.6889
405,Rural,5,Kermanshah,7,88,1018041.51
414,Rural,6,Khoozestan,7,52,1039432.351
482,Rural,7,Fars,7,63,1530254.867
350,Rural,8,Kerman,7,32,892717.8811
449,Rural,9,Khorasan_Razavi,7,65,1489626.92
504,Rural,10,Esfahan,7,59,1684288.379
295,Rural,11,Sistan,7,26,549141.2316
503,Rural,12,Kordestan,7,20,1570300.941
429,Rural,13,Hamedan,7,51,1188780.742
548,Rural,14,Chaharmahal,7,46,1887924.002
323,Rural,15,Lorestan,7,46,874274.3138
392,Rural,16,Ilam,7,42,811920.956
598,Rural,17,Kohkilooye,7,36,1081055.35
486,Rural,18,Booshehr,7,48,1587798.763
515,Rural,19,Zanjan,7,34,2660441.503
382,Rural,20,Semnan,7,41,860481.0787
524,Rural,21,Yazd,7,81,2598473.795
507,Rural,22,Hormozgan,7,65,1536473.327
544,Rural,23,Tehran,7,68,1483045.58
546,Rural,24,Ardebil,7,29,2224849.861
461,Rural,25,Ghom,7,30,1014550.694
481,Rural,26,Ghazvin,7,72,2485786.006
362,Rural,27,Golestan,7,53,1604106.841
418,Rural,28,Khorasan_Shomali,7,45,1701831.858
380,Rural,29,Khorasan_Jonoobi,7,29,1500066.163
589,Rural,30,Alborz,7,67,1376334.43
604,Urban,0,Markazi,8,53,2012762.338
610,Urban,1,Gilan,8,103,2180028.039
