"","Year","Exp","ProvinceCode"
"236",91,5138463.8492521,24
"237",91,3851071.26734886,25
"238",91,4877701.83470746,26
"239",91,3656932.00714762,27
"240",91,4016152.73170194,28
"241",91,3980671.30472512,29
"242",91,4595476.07085106,30
"243",92,6026513.95766376,0
"244",92,6898340.18355022,1
"245",92,6968261.8963943,2
"246",92,6589976.33490247,3
"247",92,6232176.47933214,4
"248",92,6383248.16656922,5
"249",92,6487231.77580683,6
"250",92,6181116.04214464,7
"251",92,4495635.04897359,8
"252",92,6363840.30615966,9
"253",92,7947208.38204219,10
"254",92,3353481.46394067,11
"255",92,5057437.95487907,12
"256",92,4082728.7169406,13
"257",92,6596881.52408433,14
"258",92,4671067.79487891,15
"259",92,5419543.37184536,16
"260",92,5593611.25151242,17
"261",92,5075318.60774102,18
"262",92,5630551.78206579,19
"263",92,5682346.18823322,20
"264",92,5200794.93014628,21
"265",92,5301072.64986091,22
"266",92,10368315.476279,23
"267",92,5524292.7270184,24
"268",92,4502000.65273769,25
"269",92,6427769.63646333,26
"270",92,4559761.56294213,27
"271",92,5102800.2558042,28
"272",92,5877479.50360923,29
"273",92,6905788.85655729,30
"274",93,6414521.50115826,0
"275",93,8051640.0207304,1
"276",93,7354778.31314764,2
"277",93,6885281.3327044,3
"278",93,6295508.88871189,4
"279",93,6826299.41505065,5
"280",93,6937245.26243307,6
"281",93,7197328.21441148,7
"282",93,3958524.55046826,8
"283",93,7008447.70539579,9
"284",93,9331461.67489612,10
"285",93,3392938.99799437,11
"286",93,5705081.71172045,12
"287",93,5383470.39510457,13
"288",93,8481061.63187469,14
"289",93,5359337.22957261,15
"290",93,5178913.54661166,16
"291",93,6590609.62096272,17
"292",93,6422751.89857803,18
"293",93,5637251.56764006,19
"294",93,5813775.67946949,20
"295",93,6463349.82924252,21
"296",93,7170848.26874626,22
"297",93,12352440.4039282,23
"298",93,5768286.96515773,24
"299",93,5633481.35261994,25
"300",93,6812320.81353004,26
"301",93,5110630.15116739,27
"302",93,5471295.64814379,28
"303",93,6134783.4109388,29
"304",93,9529107.64783434,30
"305",94,7019997.57670885,0
"306",94,9232408.40381265,1
"307",94,8648784.53562005,2
"308",94,7577787.70021852,3
"309",94,6261125.77794125,4
"310",94,7646323.55006793,5
"311",94,7600191.72253817,6
"312",94,8804526.80801819,7
"313",94,4486654.32171979,8
"314",94,7168916.86193288,9
"315",94,10244439.3873392,10
"316",94,3840655.13459247,11
"317",94,6601600.40249238,12
"318",94,6656164.35795553,13
"319",94,9260703.92720393,14
"320",94,5242872.40512045,15
"321",94,4501630.13620463,16
"322",94,6457867.62712104,17
"323",94,6946644.95561823,18
"324",94,6151328.15192334,19
"325",94,6120422.65386864,20
"326",94,7232386.34041041,21
"327",94,6397027.95831923,22
"328",94,14412456.7697532,23
"329",94,6157145.47598322,24
"330",94,6950647.837637,25
"331",94,7603424.23448526,26
"332",94,5662556.831533,27
"333",94,6275350.90358283,28
"334",94,5567549.17204166,29
"335",94,9527974.69230615,30
"336",95,8012921.61158562,0
"337",95,9870604.79710242,1
"338",95,9685538.81126015,2
"339",95,8866682.80381695,3
"340",95,5756379.28041933,4
"341",95,7844050.54010433,5
"342",95,8239620.68403723,6
"343",95,9367378.75385609,7
"344",95,4602141.39957335,8
"345",95,8146554.11685663,9
"346",95,10261904.2703809,10
"347",95,4168190.15207367,11
"348",95,6810276.51581963,12
"349",95,8078400.95814872,13
"350",95,9107402.82332885,14
"351",95,5966432.4276922,15
"352",95,7129682.50469177,16
"353",95,6081486.27945609,17
"354",95,7426248.96035401,18
"355",95,6733288.97026516,19
"356",95,6703567.25353164,20
"357",95,8562822.14295883,21
"358",95,6631649.54250607,22
"359",95,15709338.8299063,23
"360",95,6712307.23871673,24
"361",95,8716603.30869428,25
"362",95,8755878.23696242,26
"363",95,6061532.46438286,27
"364",95,6415682.60712002,28
"365",95,5943810.5050678,29
"366",95,10666009.9864908,30
"367",96,8660853.55774857,0
"368",96,10224271.1616973,1
"369",96,12640835.4672269,2
"370",96,9737646.8101695,3
"371",96,7617149.82611615,4
"372",96,9074880.93405253,5
"373",96,9154175.56181857,6
"374",96,9792918.78219358,7
"375",96,5381774.49084254,8
"376",96,10420849.5390435,9
"377",96,12338260.7902231,10
"378",96,4687996.71579011,11
"379",96,7547274.84447802,12
"380",96,8264048.4176151,13
"381",96,9608475.35635674,14
"382",96,8003776.20254595,15
"383",96,7837070.34563741,16
"384",96,7355483.61688273,17
"385",96,9747815.3329873,18
"386",96,8415516.34944569,19
"387",96,7967005.3791636,20
"388",96,10249383.3114913,21
"389",96,9093351.64081108,22
"390",96,17820168.9374922,23
"391",96,8680399.94442226,24
"392",96,10158097.3877731,25
"393",96,9436001.43316574,26
"394",96,8060949.03096407,27
"395",96,7970519.12339292,28
"396",96,6478952.44223827,29
"397",96,12341813.3792419,30
"398",97,11015271.8606435,0
"399",97,12111803.3655671,1
"400",97,14548854.1914359,2
"401",97,11976708.9158729,3
"402",97,8482299.07036645,4
"403",97,12536382.2849311,5
"404",97,11428932.9997019,6
"405",97,12595384.6360137,7
"406",97,6714847.9531515,8
"407",97,11654676.5496679,9
"408",97,14629183.8237657,10
"409",97,6007399.72843923,11
"410",97,9685630.51626876,12
"411",97,10355433.1515677,13
"412",97,11578002.1364288,14
"413",97,9501142.98877333,15
"414",97,8932960.69501798,16
"415",97,10294907.9622381,17
"416",97,11114304.0945522,18
"417",97,11167321.7929786,19
"418",97,9426467.71087402,20
"419",97,12690048.3101597,21
"420",97,12537677.3043422,22
"421",97,22441833.4027106,23
"422",97,10517942.4649096,24
"423",97,12460739.6145304,25
"424",97,11872836.4131061,26
"425",97,10115124.2217086,27
"426",97,9411325.25975353,28
"427",97,7278109.66432223,29
"428",97,16758211.8977655,30
