,???,???,HLiterate,Knowledge,tenure,area,room,car,oven,frez_refrig,electricity,bathroom,ego,pipewater,???? ???????? ??? ?? ??? ?????,heatfuel,hotwater,G0451,G0452,G0453,G044,Energy_Share,Subsidy,Food_Share,Low_Calorie,Low_Protein,FoodKCaloriesHH_Per,No_Insurance,Area_Per,skeleton,House_High_Share,Tech_low,Equip_low
2,90,7,0.212015359,0.102195962,0.750380275,30.43837868,1.131727973,0.60322711,0.021242043,0.991503708,0.000501779,0.048922345,0.760344648,0.016987284,0.211207222,0.214961083,0.213222183,0.016910051,0.025395046,0.007035116,0.011396873,0.060737086,0.136891887,0.292805338,0.276695473,0.113172973,2918.802664,0.199514906,0.145205839,0.074624675,0.080971572,0.207438809,0.028324654
13,91,7,0.207628656,0.07031714,0.768213596,31.46717614,1.168359923,0.56155569,0.016501929,0.991761847,0.000518525,0.03428847,0.729258438,0.010827487,0.184004143,0.185964269,0.185704691,0.014032868,0.016352103,0.004880904,0.00922586,0.044491735,0.15434452,0.317752175,0.300767558,0.144162414,2861.060949,0.186517132,0.132040617,0.066289179,0.062857947,0.210877568,0.023690501
25,92,7,0.193817091,0.080385476,0.73213311,32.99218886,1.245395385,0.56855625,0.013986043,0.993502123,0.000398404,0.034101375,0.735268468,0.023131528,0.190379634,0.191203393,0.193298988,0.012396317,0.014809314,0.003916689,0.008176826,0.039299146,0.131586042,0.319954652,0.337158718,0.150546761,2711.847497,0.174823434,0.106373893,0.074183634,0.074034978,0.239210076,0.01663497
37,93,7,0.165716784,0.079396768,0.734590559,32.81668906,1.255201616,0.524829495,0.01131659,0.995671198,0.000231391,0.026848207,0.699926183,0.013245266,0.159107735,0.16159443,0.162211412,0.013893019,0.017657556,0.003881468,0.009040145,0.044472188,0.102606964,0.296065249,0.394447001,0.179302405,2582.415245,0.179222577,0.092667247,0.062812249,0.082253396,0.211717258,0.012380001
47,94,7,0.181681337,0.066551897,0.751252827,33.13152628,1.263941763,0.513663822,0.01024543,0.991249875,0.000200859,0.019764733,0.704361215,0.009468502,0.14065147,0.143406813,0.145094887,0.015931431,0.018474412,0.002850467,0.009381646,0.046637956,0.091936588,0.282381385,0.364177964,0.159586069,2590.52217,0.116133697,0.094280759,0.063217983,0.08794477,0.215440475,0.011533855
57,95,7,0.186112334,0.061824483,0.720203361,33.79210346,1.279482503,0.514652225,0.014940068,0.994032337,0,0.017434414,0.672873773,0.011401473,0.138496548,0.13988897,0.139968646,0.016259483,0.020053723,0.003033559,0.010926891,0.050273656,0.084132238,0.28183849,0.370655517,0.162680542,2548.617613,0.115268049,0.080045775,0.048645428,0.092290633,0.22662297,0.015414612
64,96,7,0.15928365,0.069095822,0.750972347,33.75210492,1.287302452,0.460245254,0.01299815,0.994730146,0,0.011931635,0.656447797,0.011034013,0.111485298,0.113171522,0.114570487,0.016783016,0.017327768,0.001513343,0.010852552,0.046476679,0.072849669,0.27058881,0.373288058,0.175404808,2559.675391,0.103770076,0.071499941,0.043352834,0.078746209,0.186307681,0.010566818
74,97,7,0.143870531,0.060284556,0.730037622,35.0391994,1.336023654,0.421175952,0.008402469,0.99056898,0.000104978,0.014527847,0.667622917,0.01346842,0.100344497,0.105178879,0.103343311,0.014690153,0.014228805,0.001228774,0.010265858,0.04041359,0.059258959,0.275546089,0.433249171,0.213105706,2416.988377,0.123651498,0.059814961,0.034130135,0.089155484,0.188687561,0.013004511
85,98,7,0.13870025,0.062314279,0.729241063,34.7623035,1.331054297,0.427310685,0.007079418,0.998268575,0,0.010685962,0.670658588,0.011428314,0.085462126,0.090000633,0.089138493,0.012359331,0.012654585,0.000796263,0.00891941,0.034729589,0.048567181,0.287149144,0.471489272,0.239850243,2342.267638,0.11539758,0.061007071,0.030802886,0.100110796,0.170521042,0.007794629
5,90,8,0.191767467,0.08113541,0.772468085,33.69078643,1.191679553,0.530499993,0.018376926,0.992249698,0.001421531,0.046043611,0.755997662,0.017532133,0.195712857,0.197082166,0.19662556,0.015488991,0.025029579,0.006811493,0.010371544,0.057701608,0.12219362,0.28097869,0.242073796,0.09454494,3105.573462,0.168928807,0.111922934,0.06602659,0.062767048,0.175675704,0.018943905
15,91,8,0.188772631,0.063568037,0.774186777,34.83613559,1.262268219,0.512888691,0.013956412,0.993285537,0.000267463,0.033559605,0.749305227,0.011830746,0.186679058,0.189786619,0.189612813,0.01344934,0.015266121,0.005415203,0.008762876,0.042893541,0.133689486,0.311209081,0.246843076,0.098492202,3107.798191,0.159745182,0.102614856,0.059119555,0.062657932,0.179219835,0.01575323
