"","FoodType","ProvinceCode","N","Average_New","KCalories","Protein","Average_Protein"
"214","Morgh",12,112,60.4161835662555,2,0.22,13.2915603845762
"215","Nan",12,112,349.906276119676,2.5,0.10125,35.4280104571172
"216","Panir",12,77,9.5131208617877,2.5,0.333333333333333,3.17104028726257
"217","Roghan",12,97,31.678303369493,8,0,0
"218","Sabzi",12,117,134.435584393171,0.5,0.04,5.37742337572684
"219","Shir",12,89,78.732654199044,2.5,0.0321428571428571,2.53069245639784
"220","Sibzamini",12,101,40.2190947586623,0.9,0.03,1.20657284275987
"221","Tokhmemorgh",12,107,17.0886898483983,1.4,0.0882352941176471,1.50782557485868
"222","Berenj",13,175,60.1694681280233,1.2,0.09,5.4152521315221
"223","Ghand",13,275,26.1641093076463,4,0.03,0.784923279229389
"224","Goosht",13,144,6.05370239887993,2.5,0.225,1.36208303974798
"225","Hoboobat",13,116,7.1483694327239,3,0.1,0.71483694327239
"226","Khoshkbar",13,53,1.03573544642217,6,0.2,0.207147089284434
"227","Mahi",13,115,1.90549490595923,1,0.22,0.419208879311031
"228","Makarooni",13,185,19.2646432542493,3.6,0.0642857142857143,1.23844135205888
"229","Mast",13,349,46.3764321125213,1.5,0.04,1.85505728450085
"230","Mive",13,351,166.24649255721,0.5,0,0
"231","Morgh",13,323,52.0847054850813,2,0.22,11.4586352067179
"232","Nan",13,394,376.323134860257,2.5,0.10125,38.102717404601
"233","Panir",13,287,13.1063411371341,2.5,0.333333333333333,4.36878037904471
"234","Roghan",13,265,23.9671595370695,8,0,0
"235","Sabzi",13,388,171.326876560472,0.5,0.04,6.8530750624189
"236","Shir",13,319,72.2021376575091,2.5,0.0321428571428571,2.32078299613422
"237","Sibzamini",13,271,53.0667528186885,0.9,0.03,1.59200258456066
"238","Tokhmemorgh",13,372,27.0654277822569,1.4,0.0882352941176471,2.38812598078737
"239","Berenj",14,77,55.3625274671382,1.2,0.09,4.98262747204244
"240","Ghand",14,147,56.6020761033392,4,0.03,1.69806228310017
"241","Goosht",14,52,8.21875834794565,2.5,0.225,1.84922062828777
"242","Hoboobat",14,45,7.21500251280545,3,0.1,0.721500251280545
"243","Khoshkbar",14,59,4.3077480838614,6,0.2,0.86154961677228
"244","Mahi",14,3,0.444628786823314,1,0.22,0.097818333101129
"245","Makarooni",14,122,125.450817484521,3.6,0.0642857142857143,8.06469540971919
"246","Mast",14,100,53.4796432160685,1.5,0.04,2.13918572864274
"247","Mive",14,146,155.174142798881,0.5,0,0
"248","Morgh",14,142,80.8852731621624,2,0.22,17.7947600956757
"249","Nan",14,68,117.080720860603,2.5,0.10125,11.854422987136
"250","Panir",14,121,13.8356869531484,2.5,0.333333333333333,4.61189565104948
"251","Roghan",14,138,26.3101551209291,8,0,0
"252","Sabzi",14,153,143.719151658464,0.5,0.04,5.74876606633856
"253","Shir",14,131,104.337054058116,2.5,0.0321428571428571,3.35369102329659
"254","Sibzamini",14,145,62.3886120406242,0.9,0.03,1.87165836121873
"255","Tokhmemorgh",14,143,22.6781547055063,1.4,0.0882352941176471,2.00101365048585
"256","Berenj",15,153,50.9178003062768,1.2,0.09,4.58260202756491
"257","Ghand",15,226,34.6143122961085,4,0.03,1.03842936888326
"258","Goosht",15,89,4.83222790338393,2.5,0.225,1.08725127826138
"259","Hoboobat",15,82,4.29041793680856,3,0.1,0.429041793680856
"260","Khoshkbar",15,120,3.70371830984637,6,0.2,0.740743661969273
"261","Mahi",15,26,1.33410498919728,1,0.22,0.293503097623402
"262","Makarooni",15,144,37.9336495903215,3.6,0.0642857142857143,2.43859175937781
"263","Mast",15,158,16.6340685097601,1.5,0.04,0.665362740390404
"264","Mive",15,254,80.6889764352025,0.5,0,0
"265","Morgh",15,259,61.8612969977028,2,0.22,13.6094853394946
"266","Nan",15,259,420.417392330917,2.5,0.10125,42.5672609735053
"267","Panir",15,190,6.87160883467016,2.5,0.333333333333333,2.29053627822339
"268","Roghan",15,172,26.4261076592943,8,0,0
"269","Sabzi",15,279,94.1916940081175,0.5,0.04,3.7676677603247
"270","Shir",15,201,53.9648688478388,2.5,0.0321428571428571,1.7345850701091
"271","Sibzamini",15,274,48.9895398399166,0.9,0.03,1.4696861951975
"272","Tokhmemorgh",15,272,15.5442680071735,1.4,0.0882352941176471,1.37155305945648
"273","Berenj",16,165,62.260816869773,1.2,0.09,5.60347351827957
"274","Ghand",16,202,31.5987467188098,4,0.03,0.947962401564295
"275","Goosht",16,44,4.25969348318479,2.5,0.225,0.958431033716577
"276","Hoboobat",16,151,8.86212780949947,3,0.1,0.886212780949947
"277","Khoshkbar",16,143,5.69752353978423,6,0.2,1.13950470795685
"278","Mahi",16,20,1.56015986481393,1,0.22,0.343235170259066
"279","Makarooni",16,155,57.5210652306544,3.6,0.0642857142857143,3.69778276482778
"280","Mast",16,132,17.7757229918402,1.5,0.04,0.711028919673606
"281","Mive",16,213,110.432591834583,0.5,0,0
"282","Morgh",16,211,58.8807881488359,2,0.22,12.9537733927439
"283","Nan",16,190,380.498740855686,2.5,0.10125,38.5254975116382
"284","Panir",16,180,5.33241136440266,2.5,0.333333333333333,1.77747045480089
"285","Roghan",16,185,29.067771871401,8,0,0
"286","Sabzi",16,221,120.778416522237,0.5,0.04,4.83113666088948
"287","Shir",16,136,25.3558687007962,2.5,0.0321428571428571,0.815010065382735
"288","Sibzamini",16,217,50.5111765830696,0.9,0.03,1.51533529749209
"289","Tokhmemorgh",16,187,12.1077515146459,1.4,0.0882352941176471,1.06833101599816
"290","Berenj",17,131,42.3457561097621,1.2,0.09,3.81111804987859
"291","Ghand",17,410,56.7731459883986,4,0.03,1.70319437965196
"292","Goosht",17,199,9.8403108261993,2.5,0.225,2.21406993589484
"293","Hoboobat",17,359,25.5332907334359,3,0.1,2.55332907334359
"294","Khoshkbar",17,370,8.42340662968855,6,0.2,1.68468132593771
"295","Mahi",17,67,3.40991515386196,1,0.22,0.750181333849631
"296","Makarooni",17,321,69.0268308654686,3.6,0.0642857142857143,4.43743912706584
"297","Mast",17,113,16.3627598756935,1.5,0.04,0.654510395027741
"298","Mive",17,406,310.035867559249,0.5,0,0
"299","Morgh",17,410,80.5863389642779,2,0.22,17.7289945721411
"300","Nan",17,399,175.502955123276,2.5,0.10125,17.7696742062317
"301","Panir",17,393,15.5993572447412,2.5,0.333333333333333,5.19978574824706
"302","Roghan",17,371,34.4675727345337,8,0,0
"303","Sabzi",17,410,312.703724781585,0.5,0.04,12.5081489912634
"304","Shir",17,93,14.219091765546,2.5,0.0321428571428571,0.457042235321123
"305","Sibzamini",17,398,97.9991497983263,0.9,0.03,2.93997449394979
"306","Tokhmemorgh",17,403,28.2582907494741,1.4,0.0882352941176471,2.49337859554183
"307","Berenj",18,97,73.2970028144368,1.2,0.09,6.59673025329931
"308","Ghand",18,126,24.8368655297432,4,0.03,0.745105965892294
"309","Goosht",18,18,1.45367479173365,2.5,0.225,0.327076828140072
"310","Hoboobat",18,111,13.9706391764969,3,0.1,1.39706391764969
"311","Khoshkbar",18,62,3.93384696090302,6,0.2,0.786769392180603
"312","Mahi",18,88,23.8308706990216,1,0.22,5.24279155378475
