"","Year","Bargh_Share","Gaz_Share","Decile","Energy_Share"
"163",93,0.0168817738006749,0.0203710013809133,"4",0.0501279485384916
"164",93,0.0113487861100051,0.0147552013382796,"9",0.0365663280221245
"165",93,0.0124026743151914,0.0155732434949119,"8",0.0386299281457374
"166",93,0.0159205793269823,0.0188401337389589,"5",0.0462732676515581
"167",93,0.0135146168544649,0.0169174341771748,"7",0.0415671114406528
"168",93,0.0183384505589472,0.0203307266967855,"3",0.0523468238687339
"169",93,0.00971793552438705,0.0119768515919616,"10",0.0306459767278842
"170",93,0.0235740400280749,0.0273697159180082,"1",0.0666806953762201
"171",94,0.0167939060547499,0.01932956201708,"5",0.0490832417726114
"172",94,0.0155647048456765,0.0186994960408437,"7",0.0456632544180018
"173",94,0.0241903762806268,0.0265880521032163,"1",0.0677086790564635
"174",94,0.0214971195503152,0.0246376602337097,"2",0.0619787545149672
"175",94,0.0160328351967692,0.0187335099560798,"6",0.0471434988744805
"176",94,0.0136106162458063,0.0165466408387662,"8",0.0408952999395452
"177",94,0.0128198080523589,0.0156230629121081,"9",0.0385446541990478
"178",94,0.0190070689079554,0.0221541779212977,"4",0.0553959399532164
"179",94,0.0197950266286068,0.0233578238204701,"3",0.0581683552284729
"180",94,0.0105036981670402,0.0125356236823503,"10",0.0321668221498953
"181",95,0.0255758362736088,0.0260990820677389,"2",0.0699801934520463
"182",95,0.0304624870590988,0.0274294031705418,"1",0.0785942612193511
"183",95,0.0168639956260538,0.021074293834331,"6",0.051061579757468
"184",95,0.0199206387298536,0.0232136470482156,"4",0.0593683194930022
"185",95,0.0175764322669123,0.022805175237118,"5",0.0553260933528082
"186",95,0.00983422302283001,0.0121633471743315,"10",0.0317065017887939
"187",95,0.0154070984249413,0.0201566901247941,"7",0.0480891348000753
"188",95,0.0147683474962095,0.0181890974850825,"8",0.0443353930985954
"189",95,0.0122887858341003,0.0150771799448533,"9",0.0377577443272193
"190",95,0.021721373507087,0.0242687658091058,"3",0.0627655399530954
"191",96,0.0104191352375175,0.00998494205344706,"10",0.0301375764468747
"192",96,0.0196849143257117,0.0206912356524805,"4",0.0551811936438505
"193",96,0.0161813315483756,0.0162427695059553,"7",0.0448356919576869
"194",96,0.0127962986997525,0.0136556481574733,"9",0.0369721380702774
"195",96,0.0143485040692314,0.0154328070498944,"8",0.0411771559257723
"196",96,0.0170101124649667,0.0184873306943438,"6",0.0486609809874684
"197",96,0.022911566191675,0.0219806576263153,"3",0.0613049400686507
"198",96,0.0176290156411509,0.018656007230266,"5",0.049871709404933
"199",96,0.0236190802051838,0.0234817858066164,"2",0.0643869886233243
"200",96,0.0309068938488703,0.0265103191101875,"1",0.0780922201027689
"201",97,0.0175619180715076,0.0168634277675493,"4",0.0474914683769845
"202",97,0.00862087381158839,0.00768688116505161,"10",0.024174129728464
"203",97,0.0132216304758845,0.0123025823540116,"7",0.0359192714984716
"204",97,0.0163527976585181,0.0154214814289893,"5",0.043458656224406
"205",97,0.0106487147453436,0.0100692863318724,"9",0.0299867429318449
"206",97,0.0191544757114945,0.0182259317771667,"3",0.0515331292536791
"207",97,0.0223248772652176,0.0207173725511937,"2",0.0586403609933591
"208",97,0.0145408476026392,0.0141463602469629,"6",0.0402003260702101
"209",97,0.0124404840061516,0.0113819103411382,"8",0.0334138918514747
"210",97,0.0281891259438882,0.0237069994586757,"1",0.0709147704187602
